[?1034hname                                              b-only fit            s+b fit         rho
CMS_scale_met                                    +0.00, 0.99        +0.00, 0.99       -0.01
CMS_vhbb_BR_Hbb                                  +0.01, 0.99        +0.01, 0.99       -0.00
CMS_vhbb_QCD_SF_ZnunuHighPt_8TeV                 -0.02, 0.99        -0.02, 0.99       -0.00
CMS_vhbb_QCD_SF_ZnunuLowPt_8TeV               * -0.59, 0.70*     * -0.59, 0.70*       +0.00
CMS_vhbb_QCD_SF_ZnunuMedPt_8TeV               * +0.16, 0.82*     * +0.16, 0.82*       -0.00
CMS_vhbb_TTModel_Znn_8TeV                     * +0.11, 0.63*     * +0.11, 0.63*       -0.02
CMS_vhbb_TT_SF_ZnunuHighPt_8TeV               * -0.31, 0.88*     * -0.31, 0.88*       +0.00
CMS_vhbb_TT_SF_ZnunuLowPt_8TeV                * +0.32, 0.92*     * +0.32, 0.92*       +0.00
CMS_vhbb_TT_SF_ZnunuMedPt_8TeV                * +0.77, 0.89*     * +0.77, 0.89*       +0.00
CMS_vhbb_WJSlope_Znn_8TeV                        +0.14, 0.99        +0.14, 0.99       -0.01
CMS_vhbb_Wj0b_SF_ZnunuHighPt_8TeV                -0.00, 0.99        +0.00, 0.99       +0.00
CMS_vhbb_Wj0b_SF_ZnunuLowPt_8TeV                 +0.08, 0.98        +0.08, 0.98       +0.00
CMS_vhbb_Wj0b_SF_ZnunuMedPt_8TeV                 +0.16, 0.99        +0.16, 0.99       +0.00
CMS_vhbb_Wj1b_SF_ZnunuHighPt_8TeV                -0.03, 0.98        -0.03, 0.98       -0.00
CMS_vhbb_Wj1b_SF_ZnunuLowPt_8TeV                 +0.25, 1.00        +0.25, 1.00       +0.00
CMS_vhbb_Wj1b_SF_ZnunuMedPt_8TeV                 +0.19, 0.99        +0.19, 0.99       -0.00
CMS_vhbb_Wj2b_SF_ZnunuHighPt_8TeV                +0.04, 0.98        +0.04, 0.98       -0.02
CMS_vhbb_Wj2b_SF_ZnunuLowPt_8TeV                 +0.10, 0.99        +0.10, 0.99       -0.00
CMS_vhbb_Wj2b_SF_ZnunuMedPt_8TeV                 +0.04, 0.97        +0.04, 0.97       -0.01
CMS_vhbb_ZJSlope_Znn_8TeV                     * -0.18, 0.76*     * -0.18, 0.76*       -0.01
CMS_vhbb_Zj0b_SF_ZnunuHighPt_8TeV                -0.02, 0.98        -0.03, 0.98       +0.00
CMS_vhbb_Zj0b_SF_ZnunuLowPt_8TeV                 +0.13, 0.99        +0.13, 0.99       -0.00
CMS_vhbb_Zj0b_SF_ZnunuMedPt_8TeV                 +0.17, 0.99        +0.17, 0.99       +0.00
CMS_vhbb_Zj1b_SF_ZnunuHighPt_8TeV             * -0.07, 0.88*     * -0.07, 0.88*       +0.00
CMS_vhbb_Zj1b_SF_ZnunuLowPt_8TeV              * +0.41, 0.89*     * +0.41, 0.89*       +0.00
CMS_vhbb_Zj1b_SF_ZnunuMedPt_8TeV              * +0.53, 0.92*     * +0.53, 0.92*       +0.00
CMS_vhbb_Zj2bModel_Znn_8TeV                   * +0.19, 0.56*     * +0.19, 0.56*       +0.01
CMS_vhbb_Zj2b_SF_ZnunuHighPt_8TeV             * -0.32, 0.82*     * -0.32, 0.82*       -0.04
CMS_vhbb_Zj2b_SF_ZnunuLowPt_8TeV              * +0.04, 0.79*     * +0.04, 0.79*       -0.01
CMS_vhbb_Zj2b_SF_ZnunuMedPt_8TeV              * +0.07, 0.84*     * +0.07, 0.84*       -0.02
CMS_vhbb_Znn_res_j                            ! -0.41, 0.39!     ! -0.41, 0.39!       +0.00
CMS_vhbb_Znn_scale_j                          ! -0.54, 0.25!     ! -0.54, 0.25!       +0.01
CMS_vhbb_boost_EWK_8TeV                          +0.00, 0.99        +0.00, 0.99       -0.00
CMS_vhbb_boost_QCD_8TeV                          +0.01, 0.99        +0.01, 0.99       -0.00
CMS_vhbb_eff_b                                ! +0.13, 0.49!     ! +0.13, 0.49!       -0.03
CMS_vhbb_fake_b_8TeV                          ! -0.80, 0.42!     ! -0.80, 0.42!       +0.01
CMS_vhbb_s_Top                                   +0.20, 0.92        +0.20, 0.92       -0.00
CMS_vhbb_statQCD_ZnunuHighPt_bin1_8TeV           -0.09, 1.01        -0.09, 1.01       -0.00
CMS_vhbb_statQCD_ZnunuHighPt_bin2_8TeV           +0.01, 0.99        +0.01, 0.99       -0.00
CMS_vhbb_statQCD_ZnunuHighPt_bin3_8TeV           +0.00, 0.99        +0.00, 0.99       +0.00
CMS_vhbb_statQCD_ZnunuLowPt_bin1_8TeV         * -0.36, 0.64*     * -0.36, 0.64*       -0.01
CMS_vhbb_statQCD_ZnunuLowPt_bin2_8TeV         * -0.02, 0.61*     * -0.02, 0.61*       +0.00
CMS_vhbb_statQCD_ZnunuLowPt_bin3_8TeV            +0.22, 0.96        +0.22, 0.96       +0.00
CMS_vhbb_statQCD_ZnunuLowPt_bin4_8TeV            +0.01, 1.00        +0.01, 1.00       +0.00
