[?1034hname                                              b-only fit            s+b fit         rho
CMS_eff_m                                     * -0.36, 0.79*     * -0.01, 0.85*       +0.40
CMS_scale_j                                      -0.00, 0.99        -0.00, 0.99       -0.00
Met                                              +0.00, 1.01        +0.00, 0.99       +0.02
PhotonEfficiency                                 +0.01, 1.00        -0.01, 0.99       -0.01
QCD_Norm8TeV                                  * +0.01, 0.87*     * -0.00, 0.87*       -0.01
QCDscale_VH                                      +0.00, 0.99        -0.00, 0.99       -0.00
QCDscale_ggH                                     +0.00, 0.99        +0.00, 0.99       -0.05
QCDscale_qqH                                     +0.00, 0.99        -0.00, 0.99       -0.00
VEff_Norm8TeV                                    +0.11, 0.96        -0.00, 0.95       -0.13
ZG_qgcontent                                     +0.08, 0.97        +0.00, 0.97       -0.08
boosted_stat_error_dimuonCR_bin0                 +0.02, 0.97        -0.00, 0.97       -0.02
boosted_stat_error_dimuonCR_bin1                 +0.02, 0.97        -0.00, 0.97       -0.02
boosted_stat_error_dimuonCR_bin2                 +0.02, 0.97        +0.00, 0.97       -0.02
boosted_stat_error_dimuonCR_bin3                 +0.01, 0.97        -0.00, 0.97       -0.01
boosted_stat_error_dimuonCR_bin4                 +0.01, 0.97        +0.00, 0.98       -0.01
boosted_stat_error_dimuonCR_bin5                 +0.02, 0.97        -0.00, 0.97       -0.02
boosted_stat_error_photonCR_bin0              * +0.04, 0.88*     * +0.00, 0.88*       -0.05
boosted_stat_error_photonCR_bin1              * +0.05, 0.87*     * +0.00, 0.88*       -0.06
boosted_stat_error_photonCR_bin2              * +0.05, 0.88*     * +0.00, 0.88*       -0.06
boosted_stat_error_photonCR_bin3              * +0.05, 0.88*     * -0.00, 0.89*       -0.05
boosted_stat_error_photonCR_bin4              * +0.07, 0.86*     * -0.00, 0.87*       -0.08
boosted_stat_error_photonCR_bin5              * +0.09, 0.82*     * +0.00, 0.83*       -0.10
boosted_stat_error_singlemuonCR_bin0             +0.05, 0.94        -0.00, 0.94       -0.05
boosted_stat_error_singlemuonCR_bin1             +0.06, 0.94        -0.00, 0.94       -0.06
boosted_stat_error_singlemuonCR_bin2             +0.06, 0.94        +0.00, 0.94       -0.05
boosted_stat_error_singlemuonCR_bin3             +0.04, 0.96        -0.00, 0.97       -0.03
boosted_stat_error_singlemuonCR_bin4             +0.04, 0.98        +0.00, 0.97       -0.03
boosted_stat_error_singlemuonCR_bin5             +0.05, 0.98        +0.00, 0.97       -0.04
ewk_boosted_bin0                              * -0.05, 0.87*     * -0.00, 0.87*       +0.05
ewk_boosted_bin1                              * -0.05, 0.90*        -0.00, 0.90       +0.05
ewk_boosted_bin2                                 -0.04, 0.93        -0.00, 0.93       +0.04
ewk_boosted_bin3                                 -0.03, 0.95        +0.00, 0.95       +0.03
ewk_boosted_bin4                                 -0.03, 0.96        +0.00, 0.97       +0.03
ewk_boosted_bin5                                 -0.05, 0.94        -0.00, 0.94       +0.05
ewk_monojet_bin0                              * -0.00, 0.74*     * +0.01, 0.75*       +0.02
ewk_monojet_bin1                              * +0.02, 0.72*     * +0.01, 0.72*       -0.03
ewk_monojet_bin10                             * +0.02, 0.73*     * -0.01, 0.73*       -0.03
ewk_monojet_bin11                             * +0.05, 0.74*     * -0.00, 0.74*       -0.06
ewk_monojet_bin12                             * +0.04, 0.76*     * -0.00, 0.76*       -0.05
ewk_monojet_bin13                             * +0.04, 0.76*     * -0.00, 0.75*       -0.04
ewk_monojet_bin14                             * +0.01, 0.69*     * -0.00, 0.69*       -0.01
ewk_monojet_bin15                             * +0.01, 0.71*     * -0.00, 0.72*       -0.01
ewk_monojet_bin16                             * +0.04, 0.66*     * -0.00, 0.67*       -0.06
ewk_monojet_bin17                             * -0.05, 0.63*     * -0.00, 0.64*       +0.08
ewk_monojet_bin18                             * -0.26, 0.67*     * +0.00, 0.72*       +0.34
ewk_monojet_bin2                              * +0.01, 0.68*     * +0.00, 0.69*       -0.01
ewk_monojet_bin3                              * +0.01, 0.68*     * +0.00, 0.68*       -0.02
ewk_monojet_bin4                              * +0.02, 0.68*     * +0.00, 0.68*       -0.03
ewk_monojet_bin5                              * +0.01, 0.69*     * -0.00, 0.68*       -0.02
