[?1034hname                                              b-only fit            s+b fit         rho
CMS_eff_m                                     * -0.59, 0.78*     * -0.03, 0.85*       +0.41
CMS_scale_j                                      -0.01, 0.99        -0.00, 0.99       -0.01
Met                                              +0.01, 1.01        -0.00, 0.99       +0.12
PhotonEfficiency                                 +0.02, 0.99        -0.00, 0.99       -0.03
QCD_Norm8TeV                                  * +0.02, 0.87*     * +0.00, 0.87*       -0.02
QCDscale_VH                                      +0.00, 0.99        +0.00, 0.99       -0.01
QCDscale_ggH                                     +0.00, 0.99        +0.00, 0.99       -0.08
QCDscale_qqH                                     +0.00, 0.99        +0.00, 0.99       -0.00
VEff_Norm8TeV                                    +0.18, 0.96        -0.00, 0.94       -0.14
ZG_qgcontent                                     +0.14, 0.97        -0.00, 0.97       -0.08
boosted_stat_error_dimuonCR_bin0                 +0.03, 0.97        -0.00, 0.97       -0.02
boosted_stat_error_dimuonCR_bin1                 +0.03, 0.97        -0.00, 0.97       -0.02
boosted_stat_error_dimuonCR_bin2                 +0.03, 0.97        +0.00, 0.97       -0.02
boosted_stat_error_dimuonCR_bin3                 +0.02, 0.97        +0.00, 0.97       -0.01
boosted_stat_error_dimuonCR_bin4                 +0.02, 0.97        +0.00, 0.98       -0.01
boosted_stat_error_dimuonCR_bin5                 +0.04, 0.96        +0.00, 0.97       -0.02
boosted_stat_error_photonCR_bin0              * +0.07, 0.88*     * +0.00, 0.88*       -0.05
boosted_stat_error_photonCR_bin1              * +0.08, 0.87*     * +0.00, 0.88*       -0.05
boosted_stat_error_photonCR_bin2              * +0.08, 0.88*     * +0.00, 0.88*       -0.05
boosted_stat_error_photonCR_bin3              * +0.08, 0.88*     * -0.00, 0.89*       -0.05
boosted_stat_error_photonCR_bin4              * +0.12, 0.86*     * +0.00, 0.87*       -0.08
boosted_stat_error_photonCR_bin5              * +0.14, 0.82*     * +0.00, 0.83*       -0.09
boosted_stat_error_singlemuonCR_bin0             +0.08, 0.94        -0.00, 0.94       -0.05
boosted_stat_error_singlemuonCR_bin1             +0.09, 0.94        -0.00, 0.94       -0.05
boosted_stat_error_singlemuonCR_bin2             +0.09, 0.94        +0.00, 0.94       -0.05
boosted_stat_error_singlemuonCR_bin3             +0.06, 0.96        -0.00, 0.97       -0.03
boosted_stat_error_singlemuonCR_bin4             +0.06, 0.98        +0.00, 0.97       -0.03
boosted_stat_error_singlemuonCR_bin5             +0.07, 0.98        +0.00, 0.97       -0.04
ewk_boosted_bin0                              * -0.08, 0.87*     * -0.00, 0.87*       +0.05
ewk_boosted_bin1                              * -0.07, 0.90*        -0.00, 0.90       +0.05
ewk_boosted_bin2                                 -0.06, 0.93        -0.00, 0.93       +0.04
ewk_boosted_bin3                                 -0.05, 0.95        +0.00, 0.95       +0.03
ewk_boosted_bin4                                 -0.05, 0.96        -0.00, 0.97       +0.03
ewk_boosted_bin5                                 -0.08, 0.94        -0.00, 0.95       +0.05
ewk_monojet_bin0                              * -0.01, 0.75*     * -0.00, 0.75*       +0.02
ewk_monojet_bin1                              * +0.04, 0.72*     * +0.00, 0.72*       -0.04
ewk_monojet_bin10                             * +0.04, 0.73*     * -0.00, 0.73*       -0.05
