[?1034hname                                              b-only fit            s+b fit         rho
CMS_eff_m                                     * -0.35, 0.79*     * -0.01, 0.86*       +0.41
CMS_scale_j                                      -0.00, 0.99        -0.00, 0.99       -0.00
Met                                              +0.00, 1.00        +0.01, 0.99       +0.00
PhotonEfficiency                                 +0.01, 0.99        -0.01, 0.99       -0.02
QCD_Norm8TeV                                     +0.01, 0.96        -0.00, 0.96       -0.01
QCDscale_VH                                      +0.00, 0.99        -0.00, 0.99       -0.00
QCDscale_ggH                                     +0.00, 0.99        +0.00, 0.99       -0.06
QCDscale_qqH                                     +0.00, 0.99        -0.00, 0.99       -0.00
VEff_Norm8TeV                                    -0.00, 0.99        -0.00, 0.99       +0.01
ewk_monojet_bin0                              * -0.00, 0.74*     * +0.01, 0.75*       +0.01
ewk_monojet_bin1                              * +0.02, 0.71*     * +0.01, 0.72*       -0.04
ewk_monojet_bin10                             * +0.01, 0.73*     * -0.01, 0.73*       -0.02
ewk_monojet_bin11                             * +0.03, 0.74*     * -0.00, 0.74*       -0.05
ewk_monojet_bin12                             * +0.03, 0.76*     * -0.00, 0.76*       -0.03
ewk_monojet_bin13                             * +0.02, 0.76*     * -0.00, 0.76*       -0.03
ewk_monojet_bin14                             * -0.00, 0.69*     * -0.00, 0.69*       +0.01
ewk_monojet_bin15                             * -0.01, 0.72*     * -0.00, 0.72*       +0.02
ewk_monojet_bin16                             * +0.02, 0.67*     * -0.00, 0.67*       -0.03
ewk_monojet_bin17                             * -0.07, 0.63*     * -0.01, 0.64*       +0.12
ewk_monojet_bin18                             * -0.28, 0.67*     * +0.00, 0.74*       +0.40
ewk_monojet_bin2                              * +0.01, 0.69*     * +0.00, 0.69*       -0.02
ewk_monojet_bin3                              * +0.01, 0.67*     * +0.00, 0.68*       -0.02
ewk_monojet_bin4                              * +0.01, 0.68*     * -0.00, 0.68*       -0.02
ewk_monojet_bin5                              * +0.00, 0.68*     * -0.00, 0.68*       -0.01
ewk_monojet_bin6                              * +0.02, 0.69*     * -0.00, 0.69*       -0.04
ewk_monojet_bin7                              * +0.02, 0.69*     * -0.00, 0.70*       -0.03
ewk_monojet_bin8                              * +0.00, 0.70*     * -0.00, 0.70*       -0.00
ewk_monojet_bin9                              * +0.03, 0.72*     * -0.00, 0.72*       -0.04
fp                                            ! +0.11, 0.25!     ! -0.01, 0.31!       -0.35
gg_njets_nlo                                     +0.00, 0.99        +0.00, 0.99       -0.04
hpt                                              -0.00, 0.99        +0.00, 0.99       -0.11
lumi_8TeV                                        -0.03, 0.99        -0.00, 0.99       +0.00
mf                                               -0.01, 0.99        -0.00, 0.99       +0.01
mf2                                              -0.01, 0.92        -0.00, 0.98       -0.02
monojet_stat_error_dimuonCR_bin10                +0.02, 0.97        -0.00, 0.97       -0.03
monojet_stat_error_dimuonCR_bin11                +0.02, 0.97        -0.00, 0.97       -0.02
monojet_stat_error_dimuonCR_bin12                +0.02, 0.97        -0.00, 0.97       -0.02
monojet_stat_error_dimuonCR_bin13                +0.02, 0.96        -0.00, 0.97       -0.02
monojet_stat_error_dimuonCR_bin14                +0.04, 0.97        -0.00, 0.97       -0.04
monojet_stat_error_dimuonCR_bin15                +0.03, 0.97        -0.00, 0.97       -0.04
monojet_stat_error_dimuonCR_bin16                +0.04, 0.97        -0.00, 0.97       -0.04
monojet_stat_error_dimuonCR_bin17                +0.06, 0.97        -0.00, 0.97       -0.06
monojet_stat_error_dimuonCR_bin18                +0.09, 0.97        -0.00, 0.98       -0.09
monojet_stat_error_dimuonCR_bin3                 +0.02, 0.97        +0.00, 0.97       -0.02
monojet_stat_error_dimuonCR_bin4                 +0.02, 0.97        +0.00, 0.97       -0.02
